ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict
.0364963486790657,2.664233684539795,0,1
.0322580635547638,2.473118305206299,0,1
.0573770478367805,2.081967115402222,0,1
.0573770478367805,2.614754199981689,0,1
.0162601619958878,2.780487775802612,0,1
.0088495574891567,2.805309772491455,0,1
.0252100843936205,2.210083961486816,0,1
.0320000015199184,2.703999996185303,0,1
.0930232554674149,2.589147329330444,0,1
.0918367356061935,1.989795923233032,0,1
.0569105707108974,2.593495845794678,0,1
.0508474558591843,2.279660940170288,0,1
0,2.390909194946289,0,1
.0236220471560955,2.314960718154907,0,1
.0066666668280959,2.486666679382324,0,1
.0099999997764826,2.650000095367432,0,1
.0270270276814699,2.945945978164673,0,1
.0322580635547638,2.427419424057007,0,1
.0234375,2.734375,0,1
.0094339624047279,2.754716873168945,0,1
.0784313753247261,1.950980424880981,0,1
.0218978095799685,2.328467130661011,0,1
0,2.579999923706055,0,1
.0175438597798347,2.19298243522644,0,1
.0689655169844627,2.298850536346436,0,1
.0784313753247261,2.196078538894653,0,1
.0535714291036129,2.232142925262451,0,1
.0173913035541773,2.121739149093628,0,1
0,2.356521844863892,0,1
.0258620698004961,2.32758617401123,0,1
.0175438597798347,2.342105150222778,0,1
.0158730167895555,2.769841194152832,0,1
0,2.112359523773193,0,1
.0660377368330956,2.320754766464233,0,1
.0593220330774784,2.305084705352783,0,1
.0423728823661804,2.364406824111938,0,1
.0526315793395042,2.075187921524048,0,1
.0518518500030041,2.066666603088379,0,1
.0423728823661804,2.262711763381958,0,1
.0175438597798347,2.482456207275391,0,1
.0214285720139742,2.314285755157471,0,1
.0160000007599592,2.440000057220459,0,1
.0272727273404598,2.390909194946289,0,1
.0192307699471712,2.288461446762085,0,1
0,2.485714197158813,0,1
.036363635212183,2.336363554000854,0,1
.0227272734045982,2.39393949508667,0,1
.0194174759089947,2.708737850189209,0,1
.0298507455736399,2.20895528793335,0,1
.058252427726984,2.0679612159729,0,1
.0236220471560955,2.322834730148315,0,1
.007092198356986,2.319149017333984,0,1
.0365853644907475,2.365853548049927,0,1
.0272727273404598,2.863636255264282,0,1
0,2.735294103622437,0,1
.052173912525177,2.730434894561768,0,1
.020833333954215,2.833333253860474,0,1
0,2.794392585754395,0,1
.0198019798845053,2.554455518722534,0,1
.0086956517770886,2.599999904632568,0,1
.0540540553629398,2.639639616012573,0,1
0,2.567307710647583,0,1
0,3.146341562271118,0,1
.0188679248094559,2.726415157318115,0,1
.0260869562625885,3.208695650100708,0,1
.0227272734045982,3.409090995788574,0,1
.0116279069334269,2.406976699829102,0,1
.0540540553629398,2.225225210189819,0,1
.0166666675359011,2.366666555404663,0,1
.0106382975354791,2.404255390167236,0,1
.0192307699471712,2.778846263885498,0,1
.0155038759112358,2.689922571182251,0,1
.0109890112653375,2.604395627975464,0,1
.0170940179377794,2.675213575363159,0,1
.0090909088030457,2.85454535484314,0,1
.0421052649617195,2.589473724365234,0,1
.028985507786274,2.594202995300293,0,1
0,2.892857074737549,0,1
.0092592593282461,2.712962865829468,0,1
.0089285718277097,2.598214387893677,0,1
.0090909088030457,2.700000047683716,0,1
0,2.471074342727661,0,1
.0306122452020645,2.520408153533936,0,1
.0340909101068974,4.284090995788574,0,1
.0105263162404299,2.705263137817383,0,1
.0092592593282461,3.342592477798462,0,1
.0145985400304198,2.525547504425049,0,1
.0403225794434547,2.838709592819214,0,1
.0285714287310839,3.178571462631226,0,1
.0072992700152099,3.175182580947876,0,1
0,2.833333253860474,0,1
.0186915881931782,3.186915874481201,0,1
.0099999997764826,3.660000085830688,0,1
.0232558138668537,4,0,1
0,3.666666746139526,0,1
0,3.404761791229248,0,1
.014492753893137,3.32608699798584,0,1
.0215827338397503,2.776978492736816,0,1
.0085470089688897,2.948717832565308,0,1
.0088495574891567,3.088495492935181,0,1
.0076335878111422,3.167938947677612,0,1
.0082644624635577,3.371900796890259,0,1
0,3.279999971389771,0,1
.0104166669771075,3.28125,0,1
0,3.564102649688721,0,1
.0283018872141838,3.037735939025879,0,1
.0434782616794109,2.88043475151062,0,1
.0258620698004961,2.905172348022461,0,1
.0102040814235806,3.061224460601807,0,1
.0155038759112358,3.093023300170898,0,1
0,2.94565224647522,0,1
.0408163256943226,2.870748281478882,0,1
.0181818176060915,3.181818246841431,0,1
.0338983051478863,2.669491529464722,0,1
.050420168787241,2.478991508483887,0,1
.0299999993294477,2.779999971389771,0,1
.029126213863492,2.68932032585144,0,1
.0305343512445688,2.862595319747925,0,1
.0243902429938316,3.276422739028931,0,1
0,3.46363639831543,0,1
.0336134470999241,3.512604951858521,0,1
.0439560450613499,4.153846263885498,0,1
.0330578498542309,3.925619840621948,0,1
.036363635212183,3.290909051895142,0,1
0,3.724138021469116,0,1
.013513513840735,3.405405521392822,0,1
.0467289723455906,3.345794439315796,0,1
.0439560450613499,3.560439586639404,0,1
.0097087379544973,3.417475700378418,0,1
.0099999997764826,3.619999885559082,0,1
.0119047621265054,3.5,0,1
.0202020201832056,3.737373828887939,0,1
.0093457940965891,3.850467205047607,0,1
.0294117648154497,4.029411792755127,0,1
.0531914904713631,3.468085050582886,0,1
.0258620698004961,4.155172348022461,0,1
0,3.982142925262451,0,1
.0181818176060915,3.96363639831543,0,1
.0196078438311815,4.186274528503418,0,1
.0459770113229752,3.195402383804321,0,1
.0434782616794109,2.852173805236816,0,1
.0108695654198527,3.76086950302124,0,1
.0194174759089947,4.145630836486816,0,1
.0092592593282461,3.472222328186035,0,1
.0175438597798347,3.631578922271729,0,1
.0366972461342812,3.284403562545776,0,1
.0416666679084301,2.78125,0,1
.0162601619958878,3.195122003555298,0,1
.0357142873108387,2.742857217788696,0,1
.0204081628471613,3.537415027618408,0,1
0,3.366197109222412,0,1
.0091743115335703,3.697247743606567,0,1
.0396825410425663,3.611111164093018,0,1
.0350877195596695,3.5,0,1
0,3.517241477966309,0,1
.0341880358755589,3.495726585388184,0,1
.0091743115335703,4.697247505187988,0,1
.0341880358755589,3.974359035491943,0,1
.0112359551712871,3.696629285812378,0,1
.0430107526481152,3.215053796768188,0,1
.0158730167895555,3.650793552398682,0,1
.0166666675359011,4,0,1
.0198019798845053,3.693069219589233,0,1
.0215053763240576,3.817204236984253,0,1
.0204081628471613,3.785714387893677,0,1
.0102040814235806,3.948979616165161,0,1
.0194174759089947,3.252427101135254,0,1
0,3.322580575942993,0,1
.0091743115335703,3.284403562545776,0,1
.0178571436554193,3.392857074737549,0,1
0,3.344537734985352,0,1
0,2.973684310913086,0,1
.0172413792461157,3.310344934463501,0,1
.0245901644229889,3.549180269241333,0,1
.0222222227603197,3.214814901351929,0,1
.0141843967139721,3.127659559249878,0,1
.0076923076994717,3.430769205093384,0,1
.0413223132491112,3.280991792678833,0,1
.0229007638990879,3.099236726760864,0,1
.0222222227603197,3.503703594207764,0,1
.0223880596458912,3.298507452011108,0,1
0,3.430894374847412,0,1
.0107526881620288,4.129032135009766,0,1
.0430107526481152,4.27957010269165,0,1
.0481927692890167,3.927710771560669,0,1
.0114942528307438,3.839080572128296,0,1
0,3.797297239303589,0,1
0,4.333333492279053,0,1
.0172413792461157,4.068965435028076,0,1
.0113636367022991,3.375,0,1
.0131578948348761,4.263157844543457,0,1
.0370370373129845,4.259259223937988,0,1
.0547945201396942,3.904109477996826,0,1
0,4.03389835357666,0,1
0,4.086206912994385,0,1
0,4.064935207366943,0,1
.0253164563328028,3.96202540397644,0,1
.0185185186564922,3.675925970077515,0,1
.0299999993294477,3.759999990463257,0,1
0,3.688172101974487,0,1
.0238095242530107,3.75,0,1
0,3.887640476226807,0,1
.0101010100916028,3.898989915847778,0,1
0,3.922222137451172,0,1
.0246913582086563,4.135802268981934,0,1
.0617283955216408,3.75308632850647,0,1
.0109890112653375,3.615384578704834,0,1
.0256410259753466,3.576923131942749,0,1
.0212765950709581,3.85106372833252,0,1
0,4.108911037445068,0,1
0,3.954954862594604,0,1
.0121951214969158,3,0,1
.0099009899422526,3.782178163528442,0,1
.0090909088030457,3.909090995788574,0,1
0,3.752066135406494,0,1
