ISO3Alphacode,CCFLowest,CCFLatest
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
