CCF,CEBParous,r2,inplotlabel
1.728,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.714,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.7,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.658,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.647,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.63,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.607,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.623,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.621,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.605,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.608,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.606,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.609,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.587,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.574,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.554,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.539,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.53,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.51,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.489,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.488,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.5,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.525,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.531,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.554,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.584,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.378,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.349,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.325,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.298,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.265,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.243,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.209,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.167,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.136,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.102,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.06,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.03,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.002,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.974,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.934,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.904,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.895,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.859,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.853,2.1274397,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.851,2.1324885,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.838,2.1446908,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.848,2.1488373,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.861,2.1689978,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.864,2.1775701,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.877,2.200469,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.9,2.2196262,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.908,2.2315791,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.916,2.2435598,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.923,2.2517564,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.933,2.2502911,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.935,2.2473867,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.931,2.2505827,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.943,2.2619324,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.969,2.2736721,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.982,2.2807825,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.971,2.2733564,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.952,2.2645011,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.958,2.2583621,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.962,2.2577674,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.958,2.2531645,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.958,2.2531645,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.961,2.2462771,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.949,2.2299771,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.93,2.2183907,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.915,2.2087657,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.679,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.669,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.662,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.649,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.624,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.59,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.542,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.508,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.48,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.447,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.421,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.376,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.317,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.28,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.221,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.151,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.116,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.086,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.032,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.974,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.934,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.905,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.868,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.823,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.787,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.751,1.9348066,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.71,1.9084822,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.68,1.8897638,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.658,1.869222,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.638,1.8550396,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.602,1.8434982,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.574,1.8344989,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.555,1.8229778,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.527,1.8156956,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.497,1.8101572,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.476,1.8021978,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.449,1.7977668,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.42,1.7951959,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.402,1.7905492,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.384,1.7904269,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.365,1.7889909,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.357,1.7926024,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.356,1.7960265,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.353,1.7992021,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.357,1.8069241,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.889,2.0690033,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.873,2.0764966,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.889,2.0224838,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.91,2.0297556,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.916,2.0382979,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.988,2.0729928,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.964,2.0543933,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.002,2.057554,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.951,2.0623679,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.963,2.0663159,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.973,2.0944798,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.97,2.0979767,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.022,2.0996885,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.027,2.0918472,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.035,2.0807772,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.06,2.0766129,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.062,2.0682046,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.994,2.0663211,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.97,2.0628271,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.912,2.0603449,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.882,2.0613363,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.907,2.0593953,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.866,2.0393443,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.874,2.0458515,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.877,2.0468919,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.86,2.0552487,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.867,2.0652654,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.84,2.0581656,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.829,2.0855188,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.861,2.1244292,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.841,2.1088202,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.856,2.1308839,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.854,2.1334867,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.867,2.1435132,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.868,2.1620371,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.879,2.1925321,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.299,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.245,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.175,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.144,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.108,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.034,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.973,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.953,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.921,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.892,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.881,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.864,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.863,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.85,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.859,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.847,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.864,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.853,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.859,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.882,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.896,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.912,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.934,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.946,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.947,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.962,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.952,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.941,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.943,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.92,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.925,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.901,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.89,2.3654568,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.914,2.3924999,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.904,2.3800001,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.887,2.3765743,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.893,2.3811321,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.909,2.4042821,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.898,2.3874214,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.892,2.3709273,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.91,2.3785803,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.891,2.3696742,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.891,2.3667083,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.872,2.3636363,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.849,2.3494282,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.589,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.548,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.531,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.489,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.448,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.423,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.373,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.313,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.292,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.268,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.228,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.174,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.135,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.119,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.107,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.117,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.113,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.123,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.12,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.124,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.132,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.141,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.136,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.135,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.121,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.118,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.093,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.082,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.068,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.046,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.036,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.022,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.017,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.013,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.004,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.005,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.994,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.993,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.003,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.019,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.032,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.037,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.056,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.057,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.064,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.983,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.98,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.952,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.933,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.929,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.925,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.917,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.905,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.906,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.911,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.905,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.903,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.895,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.882,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.884,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.895,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.906,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.918,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.917,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.913,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
