CCF,CEBParous,r2,inplotlabel
1.849,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.872,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.847,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.851,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.828,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.825,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.821,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.815,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.823,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.824,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.827,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.824,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.822,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.84,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.847,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.872,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.869,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.883,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.885,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.888,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.032,2.2135077,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.036,2.2154515,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.039,2.2138979,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.038,2.2056277,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.052,2.1970022,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.085,2.1878278,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
