Figure Order,Figure 7
Figure Title,Period Rates Can Overstate Policy Impacts: Romanian Total Fertility Rate and Completed Cohort Fertility
Source,"TFR estimates are from the 2024 UN World Population Prospects (United Nations 2024). Completed cohort fertility estimates for Bulgaria are from the HFD, and for Romania are from Ghe__u (1997)."
Note,Figure displays the period total fertility rates and completed cohort fertility for Romania. Cohorts are plotted at their date of birth plus 30 years. Decree 770 was in force from 1966 to 1989.

ISO3Alphacode,CCFLowest,CCFLatest
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CHE,1.638,1.638
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
CZE,1.737,1.737
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DEU,1.503,1.5779999
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
DNK,1.8380001,1.915
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
ESP,1.353,1.357
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
EST,1.829,1.8789999
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FIN,1.847,1.849
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
FRA,1.993,2.0639999
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
GBR,1.882,1.913
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
HUN,1.661,1.661
IRL,2.016,2.016
IRL,2.016,2.016
IRL,2.016,2.016
