ChildlessnessPercent,CCF,HFDCountry,DHSIndianDistrict,Title,Note,Source
0.036496349,2.664233684539795,0,1,Figure 4: Cohort Childlessness Varies Widely Conditional on Cohort Average Fertility,The sample includes Human Fertility Database (HFD) countries for which there is cohort childlessness data and Indian districts. Cohort childlessness for Indian DHS survey respondents is defined as reporting no children at the time of survey. Both subsamples are restricted to cohorts with cohort fertility below 2.1.,Human Fertility Database (2023) and IIPS and ICF (2021).
0.032258064,2.473118305206299,0,1,,,
0.057377048,2.081967115402222,0,1,,,
0.057377048,2.614754199981689,0,1,,,
0.016260162,2.780487775802612,0,1,,,
0.008849557,2.805309772491455,0,1,,,
0.025210084,2.210083961486816,0,1,,,
0.032000002,2.703999996185303,0,1,,,
0.093023255,2.589147329330444,0,1,,,
0.091836736,1.989795923233032,0,1,,,
0.056910571,2.593495845794678,0,1,,,
0.050847456,2.279660940170288,0,1,,,
0,2.390909194946289,0,1,,,
0.023622047,2.314960718154907,0,1,,,
0.006666667,2.486666679382324,0,1,,,
0.01,2.650000095367432,0,1,,,
0.027027028,2.945945978164673,0,1,,,
0.032258064,2.427419424057007,0,1,,,
0.0234375,2.734375,0,1,,,
0.009433962,2.754716873168945,0,1,,,
0.078431375,1.950980424880981,0,1,,,
0.02189781,2.328467130661011,0,1,,,
0,2.579999923706055,0,1,,,
0.01754386,2.192982435,0,1,,,
0.068965517,2.298850536346436,0,1,,,
0.078431375,2.196078538894653,0,1,,,
0.053571429,2.232142925262451,0,1,,,
0.017391304,2.121739149093628,0,1,,,
0,2.356521844863892,0,1,,,
0.02586207,2.327586174,0,1,,,
0.01754386,2.342105150222778,0,1,,,
0.015873017,2.769841194152832,0,1,,,
0,2.112359523773193,0,1,,,
0.066037737,2.320754766464233,0,1,,,
0.059322033,2.305084705352783,0,1,,,
0.042372882,2.364406824111938,0,1,,,
0.052631579,2.075187921524048,0,1,,,
0.05185185,2.066666603088379,0,1,,,
0.042372882,2.262711763381958,0,1,,,
0.01754386,2.482456207275391,0,1,,,
0.021428572,2.314285755157471,0,1,,,
0.016000001,2.440000057220459,0,1,,,
0.027272727,2.390909194946289,0,1,,,
0.01923077,2.288461446762085,0,1,,,
0,2.485714197158813,0,1,,,
0.036363635,2.336363554000854,0,1,,,
0.022727273,2.393939495,0,1,,,
0.019417476,2.708737850189209,0,1,,,
0.029850746,2.208955288,0,1,,,
0.058252428,2.067961216,0,1,,,
0.023622047,2.322834730148315,0,1,,,
0.007092198,2.319149017333984,0,1,,,
0.036585364,2.365853548049927,0,1,,,
0.027272727,2.863636255264282,0,1,,,
0,2.735294103622437,0,1,,,
0.052173913,2.730434894561768,0,1,,,
0.020833334,2.833333253860474,0,1,,,
0,2.794392585754395,0,1,,,
0.01980198,2.554455518722534,0,1,,,
0.008695652,2.599999904632568,0,1,,,
0.054054055,2.639639616012573,0,1,,,
0,2.567307710647583,0,1,,,
0,3.146341562271118,0,1,,,
0.018867925,2.726415157318115,0,1,,,
0.026086956,3.208695650100708,0,1,,,
0.022727273,3.409090995788574,0,1,,,
0.011627907,2.406976699829102,0,1,,,
0.054054055,2.225225210189819,0,1,,,
0.016666668,2.366666555404663,0,1,,,
0.010638298,2.404255390167236,0,1,,,
0.01923077,2.778846263885498,0,1,,,
0.015503876,2.689922571182251,0,1,,,
0.010989011,2.604395627975464,0,1,,,
0.017094018,2.675213575363159,0,1,,,
0.009090909,2.854545355,0,1,,,
0.042105265,2.589473724365234,0,1,,,
0.028985508,2.594202995300293,0,1,,,
0,2.892857074737549,0,1,,,
0.009259259,2.712962865829468,0,1,,,
0.008928572,2.598214387893677,0,1,,,
0.009090909,2.700000047683716,0,1,,,
0,2.471074342727661,0,1,,,
0.030612245,2.520408153533936,0,1,,,
0.03409091,4.284090995788574,0,1,,,
0.010526316,2.705263137817383,0,1,,,
0.009259259,3.342592477798462,0,1,,,
0.01459854,2.525547504425049,0,1,,,
0.040322579,2.838709592819214,0,1,,,
0.028571429,3.178571462631226,0,1,,,
0.00729927,3.175182580947876,0,1,,,
0,2.833333253860474,0,1,,,
0.018691588,3.186915874481201,0,1,,,
0.01,3.660000085830688,0,1,,,
0.023255814,4,0,1,,,
0,3.666666746139526,0,1,,,
0,3.404761791229248,0,1,,,
0.014492754,3.326086998,0,1,,,
0.021582734,2.776978492736816,0,1,,,
0.008547009,2.948717832565308,0,1,,,
0.008849557,3.088495492935181,0,1,,,
0.007633588,3.167938947677612,0,1,,,
0.008264462,3.371900796890259,0,1,,,
0,3.279999971389771,0,1,,,
